YS,SF1,SFDM1,SFZM1,SF2,SFDM2,SFZM2,SF3,SFDM3,SFZM3,ZYZ1,ZYZDM1,ZYZZM1,ZYZ2,ZYZDM2,ZYZZM2,ZYZ3,ZYZDM3,ZYZZM3,YQ1,YQDM1,YQZM1,YQ2,YQDM2,YQZM2,YQ3,YQDM3,YQZM3
茂名色,共成PYG18189,0.8 ,1.1 ,,,,,,,铰链边和门架吉荣H16060,5,7,锁边吉荣H2004-47,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
华城色,昊润HTS3055,0.7 ,1.1 ,中江P7021S,0.2,0.3,,,,锦彩8026Y-1,4,6,,,,,,,,,,,,,,,
核桃木磨砂,中江PS0387,1.1 ,1.5 ,,,,,,,吉荣H1221-2,9,11,,,,,,,,,,,,,,,
横丝纹,华荣8181,0.5 ,0.8 ,中江P7305S,0.2,0.3,,,,佳泰4K9026-3,4,6,,,,,,,,,,,,,,,
新多1号色,中江EP3360,0.6 ,0.9 ,,,,,,,吉荣H09166,6,8,,,,,,,抗迁移60度,0.33,0.55,,,,,,
9014艺术粉,双金011009wj,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
新多2号色,昊润HTG7103,0.5 ,0.7 ,,,,,,,吉荣H11193A-26,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
真铜1号色,中江EP1062-7,0.7 ,1.2 ,,,,,,,,,,,,,,,,波诗明GB-90955,1,1.2,格力丝C-4907H,0.33,0.55,面漆GD-100F30,0.33,0.55
黄花梨转印,圣联1146,0.6 ,0.9 ,,,,,,,吉荣H11193A-27,6,8,,,,,,,水性漆4分光,0.33,0.35,,,,,,
曲柳转印,圣联1146,0.6 ,0.9 ,,,,,,,锦彩8073Y-3,6,8,,,,,,,水性漆4分光,0.33,0.35,,,,,,
匠心纹1号,昊润HTS8088,0.6 ,0.9 ,,,,,,,鑫尚彩980-10,6,8,,,,,,,,,,,,,,,
岩纹1号,昊润HTS8085,0.5 ,0.7 ,中江P7305S,0.2,0.3,,,,照川62055-1,4,6,,,,,,,,,,,,,,,
大理石纹1号,中江P0075S,0.3 ,0.4 ,中江P7305S,0.2,0.3,,,,照川61829,4,6,,,,,,,,,,,,,,,
中兰平光,昊润HTG6077,1.1 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
同心仿铜双色,喜泽荣E3520-1,0.5 ,0.8 ,中江P1381S,0.4,0.6,,,,锦彩HD8183-1,2,3,,,,,,,科技铜B-3,0.8,1.2,电镀灰3号,0.33,0.55,耐黄变20度,0.33,0.55
家锦拼色,中江P2402S,1.0 ,1.3 ,华荣T2831,0.2,0.3,,,,佳泰4K9037-5,4,6,照川61829,1,1,,,,,,,,,,,,
红柚高光色,昊润HTG3059,0.6 ,0.9 ,,,,,,,锦彩8001Y-1,6,8,,,,,,,菲尔特105度,0.33,0.55,,,,,,
真铜2号色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣典雅A08,0.7,1.1,电镀灰,0.33,0.55,耐黄变20度,0.33,0.55
新多3号色,昊润HTS3058,0.6 ,0.9 ,,,,,,,佳泰4K9033,6,8,,,,,,,,,,,,,,,
新多4号色,昊润HTG7109,0.5 ,0.7 ,,,,,,,欧玛9515-5,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
黑龟纹,创基T7027,1.9 ,2.9 ,,,,,,,,,,,,,,,,,,,,,,,,
景欣1号色,昊润HTG7108,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
覆塑黄,昊润HTS3066,0.9 ,1.1 ,,,,,,,照川61039-2,6.5,8,,,,,,,,,,,,,,,
新多5号色,昊润HTS8093,0.6 ,1.1 ,,,,,,,照川Z61620-2,2,2,长盛8146A,4,6,,,,,,,,,,,,
琥珀拼色,共成PSW35478,0.5 ,0.8 ,华荣T2832,0.2,0.3,,,,照川Z62011,6,8,照川Z61209,2,2,,,,,,,,,,,,
新多6号色,中江EP0045,0.5 ,0.8 ,,,,,,,吉荣9159-11,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
新多7号色,中江PS32412,0.8 ,1.1 ,,,,,,,锦彩8031Y,6,8,,,,,,,,,,,,,,,
凯撒2号色,华荣8181,0.5 ,0.8 ,,,,,,,照川61823,6,8,,,,,,,,,,,,,,,
HADDAD1号色,中江P4243S,0.7 ,1.1 ,,,,,,,照川61098-1,6,8,,,,,,,,,,,,,,,
家荣色,中江P2402S,1.0 ,1.3 ,中江P7305S,0.5,0.6,,,,锦彩8215-2,2,3,照川62058-3,2,3,,,,,,,,,,,,
XD-336一号色,中江P2322S,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
咖啡喷塑,创基7008-5,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
缅甸1号色,中江P7006,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
NNH1号色,昊润HTG7115-2,0.9 ,1.4 ,中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
五福1号色,中江EP1021,0.5 ,0.7 ,,,,,,,吉荣0342-6,4,6,国盛0801-1,2,2,,,,水性漆4分光,0.3,0.5,,,,,,
868色,中江P2336S,0.8 ,1.2 ,中江P7305S,0.2,0.3,,,,锦彩8207Y-2,7,9,,,,,,,,,,,,,,,
白黑喷塑,中江P9626S,0.7 ,1.1 ,中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
海纳百川1号色,昊润HTS1818,0.7 ,1.1 ,,,,,,,锦彩HD8129,6,8,,,,,,,,,,,,,,,
中江1025-2,中江1025-2,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
黄横纹磨砂1号色,中江P1381S,0.9 ,1.4 ,,,,,,,照川Z61028-3,6,8,,,,,,,,,,,,,,,
水泥灰转印,共成PSW04573,0.9 ,1.4 ,,,,,,,锦彩HD8183-2,7,10,,,,,,,,,,,,,,,
828色,中江2521,0.8 ,1.2 ,中江P7305S,0.5,0.6,,,,锦彩HD8210-1,4,6,,,,,,,,,,,,,,,
金意达色,中江PS1495,0.6 ,0.9 ,,,,,,,澳洋HC8210-1,6,8,,,,,,,,,,,,,,,
凯撒1号色,华荣8181,0.5 ,0.8 ,华荣T2832,0.4,0.5,,,,照川61823,4,6,,,,,,,,,,,,,,,
066色,中江PSG2520-2,0.7 ,1.1 ,中江P7305S,0.5,0.6,,,,照川62070,4,6,,,,,,,,,,,,,,,
099色,万安YJ62320,0.9 ,1.4 ,中江P2336S,0.2,0.3,中江P7305S,0.6,0.7,锦彩8207Y-2,1,1,,,,,,,,,,,,,,,
057色,兴顺PB4050-7,0.4 ,0.7 ,中江P9700,0.5,0.8,中江P7305S,0.5,0.6,,,,,,,,,,,,,,,,,,
808色,共成PSW04573,0.8 ,1.2 ,,,,,,,锦彩HD8183-2,7,10,,,,,,,,,,,,,,,
金意达1号色,合力4230,0.6 ,0.9 ,立邦0541,0.2,0.3,,,,吉荣9711-6,6,8,,,,,,,,,,,,,,,
徐雄伟1号色,中江P2292B,0.7 ,1.1 ,共成PSW3114-1,0.4,0.6,,,,吉荣8087-4,2,3,,,,,,,,,,,,,,,
碧桂园1号色,共成PYG16950,0.9 ,1.4 ,,,,,,,吉荣H16060-3,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
碧桂园2号色,共成纯PYG16950,0.9 ,1.4 ,,,,,,,吉荣16060-3,4,6,吉荣H2004,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
李春业1号色,中江P2438B,1.4 ,1.9 ,,,,,,,,,,,,,,,,,,,,,,,,
599门框色,中江P7305S,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
新多8号色,共成PSW74868,1.1 ,1.6 ,,,,,,,佳泰4K9033-1,7,9,,,,,,,,,,,,,,,
缤纷花岩色,中江P0199S,0.9 ,1.4 ,中江P7305S,0.4,0.6,,,,鑫尚彩AH9920-2,2,3,吉荣H1859,2,3,,,,,,,,,,,,
YJX1号色,双金HC0011,0.9 ,1.4 ,,,,,,,锦彩HD8087,7,9,,,,,,,,,,,,,,,
LX1号色,中江PS4428,0.7 ,1.1 ,中江P9700,0.4,0.5,,,,吉荣09169,3,4,,,,,,,,,,,,,,,
LX2号色,中江P7305S,0.9 ,1.4 ,中江P9700,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
闪金2号色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣典雅闪金2#,0.8,1.2,电镀灰3#,0.35,0.55,耐黄变20度,0.35,0.55
382色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,典雅真铜A118,0.8,1.2,电镀灰3#,0.35,0.55,耐黄变20度,0.35,0.55
火烧套色,共成PYG3114,0.5 ,0.7 ,,,,,,,中纸吉荣H0347,2,3,边纸吉荣H1618-1,4,6,,,,,,,,,,,,
檀木套色,共成PYG3114,0.5 ,0.7 ,,,,,,,中纸照川61018-1,2,3,边纸吉荣H1618-1,4,6,,,,水性漆4分光,0.35,0.55,,,,,,
858色,中江EP1062-7,0.8 ,1.1 ,,,,,,,,,,,,,,,,凌辉帝皇铜LH-79222,0.7,1.2,387电镀灰L-507A,0.35,0.55,20°户外高清金油CY-CF25,0.35,0.55
858色（外）,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣B-3,1,1.5,钛晶拉丝A,0.35,0.55,耐黄变20度,0.35,0.55
新多9号色,共成PSW340889,0.9 ,1.4 ,,,,,,,佳泰4K9033-26B,6,8,,,,,,,,,,,,,,,
陈志俊1号色,中江P9059,0.9 ,1.4 ,,,,,,,锦彩8003Y-10,7,10,,,,,,,水性漆4分光,0.35,0.55,,,,,,
滨州1号色,中江P0199S,1.6 ,1.9 ,中江P7305S,0.2,0.3,,,,照川61620-2,4,6,,,,,,,,,,,,,,,
徐雄伟2号色,共成PSW4230,0.6 ,0.9 ,中江P7305S,0.2,0.3,,,,吉荣H1857,4,6,,,,,,,,,,,,,,,
富源1号色,中江P0077S,0.5 ,0.8 ,,,,,,,吉荣H07145,6,8,,,,,,,,,,,,,,,
海砂纹色,中江P0199S,1.1 ,1.4 ,中江P7305S,0.2,0.3,,,,鑫尚彩AH9920-2,4,6,,,,,,,,,,,,,,,
古樟木,创BG3577,0.6 ,0.9 ,,,,,,,佳泰PS1673,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
热月套色,共成PYG3114,0.5 ,0.7 ,,,,,,,边纸吉荣1857-1,4,6,中纸欧玛8100,2,3,,,,水性漆4分光,0.35,0.55,,,,,,
雾月磨砂,中江P0077S,0.5 ,0.8 ,,,,,,,锦彩8062-1,6,8,,,,,,,,,,,,,,,
亚历山大磨砂,中江P0077S,0.5 ,0.8 ,,,,,,,吉荣H0455,6,8,,,,,,,,,,,,,,,
路易磨砂,中江P0077S,0.5 ,0.8 ,,,,,,,照川62012-1,6,8,,,,,,,,,,,,,,,
家锦升级色,中江P2402S,1.0 ,1.2 ,中江P7305S,0.4,0.5,,,,佳泰4K9037-5,4,6,,,,,,,,,,,,,,,
莎比利色,共成PSW3470,0.6 ,0.9 ,,,,,,,吉荣H80153,4,6,,,,,,,,,,,,,,,
枫木转印,共成PYG3114,0.5 ,0.7 ,,,,,,,吉荣H05102-8,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
凯撒白磨砂,华荣E5115,0.9 ,1.2 ,,,,,,,照川61823,6,8,,,,,,,,,,,,,,,
意大利磨砂,共成PSW340195-1,0.5 ,0.7 ,华荣T2832,0.2,0.3,,,,照川Z62011,4,6,黑纸,2,2,,,,,,,,,,,,
芬兰磨砂,共成PSW4135B,0.7 ,1.1 ,华荣T2831,0.2,0.3,,,,照川61923-1,4,6,,,,,,,,,,,,,,,
李春业2号色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,真铜A07,0.8,1.2,电镀灰3#,0.35,0.55,耐黄变20度,0.35,0.55
959色,圣联7905ZQ10PC,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
798仿铜色,中江EP1062-7,1.0 ,1.2 ,,,,,,,,,,,,,,,,波诗明GD-90961,1,1.2,格力丝C-4907H,0.35,0.55,面漆GD-100F30,0.35,0.55
坦克300,圣联7010PC,0.3 ,0.4 ,圣联8188,0.6,0.8,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
李春业3号色,中江PS4356,0.6 ,1.1 ,,,,,,,吉荣H16030,6,8,,,,,,,,,,,,,,,
坦克600,圣联7000-ZQ10PC,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
LX3号色,共成PSW35472,0.7 ,0.9 ,,,,,,,吉荣H16033,6,8,,,,,,,,,,,,,,,
YJX2号色,共成PLG21925,0.6 ,0.9 ,中江PJ2568,0.2,0.3,,,,佳泰4K9033-23,4,6,,,,,,,水性漆4分光,0.3,0.5,华荣YJ2568灰金,0.2,0.2,,,
库里1号色,共成PSW4230,0.6 ,0.9 ,华荣T2832,0.2,0.3,中间喷中江P7305S,0.1,0.1,吉荣H1857,4,6,,,,,,,,,,,,,,,
锦绣山河色,兴顺60560,1.2 ,1.7 ,,,,,,,,,,,,,,,,,,,,,,,,
非洲木磨砂,圣联7169,0.6 ,0.9 ,中江P7305S,0.2,0.3,,,,照川61219-8,6,8,黑纸,1,1,,,,,,,,,,,,
匈牙利磨砂,共成纯PSW25075,0.9 ,1.4 ,,,,,,,照川61369-2,6,8,,,,,,,,,,,,,,,
陈飞1号色,中江9649,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
米兰色,中江PS2600,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
深灰闪银,共成PSW9505,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
LX喷塑,中江EP1028,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
YJX3号色,中江P2631,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
LJT1号色,中江PS0327,0.8 ,1.1 ,,,,,,,吉荣10187-1,7,10,,,,,,,,,,,,,,,
墨彩色,共成PYG2900,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
墨艺色,中江PJS62590,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
紫金阳光色,中江PJD62575,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
一枝独秀色,中江PJS62591,0.7 ,0.9 ,中江P9700,0.7,0.9,,,,,,,,,,,,,,,,,,,,,
新多10号色,中江P0199S,1.2 ,1.7 ,,,,,,,吉荣1834-6,7,10,,,,,,,,,,,,,,,
喷塑鼎力色,共成PSW14041,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
荣耀色,圣联8188,0.9 ,1.3 ,,,,,,,照川61219-8,7,10,,,,,,,,,,,,,,,
棕黑木纹,中江P0077S,0.5 ,0.8 ,,,,,,,吉荣H0581,6,8,,,,,,,,,,,,,,,
智慧一号色,共成PZW8999,1.2 ,1.7 ,中江PS9626,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
媚茶拼色,共成25110,0.6 ,0.9 ,共成25115,0.2,0.3,,,,照川61711-2,6,8,,,,,,,,,,,,,,,
LX4号色,中江P0199S,0.9 ,1.4 ,华荣T2832,0.2,0.3,,,,吉荣H1848,4,6,吉荣1834,1,1,,,,,,,,,,,,
粗黑喷塑,喜泽荣T6205,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
红枫转印,华荣E3408,0.5 ,0.8 ,,,,,,,吉荣H05102-8,6,8,,,,,,,水性漆4分光,0.3,0.5,,,,,,
LJT2号色,共成PSW0,0.5 ,0.8 ,中江P7305S,0.4,0.5,,,,锦彩HD8181-7,3,5,吉荣H1837,1,1,,,,,,,,,,,,
李春业4号色,华荣E7853,1.1 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
巧克力喷塑,共成PSW74779,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
太空灰氟碳漆,喜泽荣22051302,0.9 ,1.4 ,,,,,,,,,,,,,,,,太空银灰YJ（6-1237）,0.8,1.2,,,,,,
家鑫色,中江P7305S,0.7 ,1.2 ,,,,,,,,,,,,,,,,喜泽荣典雅A08,0.15,0.2,电镀灰3#,0.1,0.12,耐黄变20度,0.1,0.12
墨黑磨砂,中江6014S,0.7 ,0.9 ,,,,,,,旭腾DY1021-19,6,8,,,,,,,,,,,,,,,
新多11号色,共成PYG76500,0.5 ,0.7 ,,,,,,,吉荣3168-1,7,9,,,,,,,水性漆4分光,0.45,0.55,,,,,,
新多12号色,共成PSW27105,0.8 ,1.1 ,,,,,,,照川61700-3,7,9,,,,,,,,,,,,,,,
新多13号色,共成PSW74868,0.9 ,1.1 ,喜泽荣3D闪银砂,0.1,0.1,,,,吉荣H2004-30,5,7,,,,,,,,,,,,,,,
苍灰喷塑,中江PD62579,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
新多14号色,共成PYG36630,1.1 ,1.4 ,,,,,,,锦彩8112,3,4,欧玛9034,4,5,,,,水性漆4分光,0.35,0.55,,,,,,
米白喷塑,PYG06110,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
海蓝喷塑,共成PYG5690,0.5 ,0.9 ,中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
家顺1号色,喜泽荣E3520-1,0.5 ,0.8 ,,,,,,,,,,,,,,,,6D磨砂银灰,1.15,1.35,,,,,,
妃斯色,共成PYG2900,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
LX5号色,华荣E35411,0.7 ,1.1 ,,,,,,,,,,,,,,,,3-7655YJ典雅铜6#,0.7,1,YJ电镀拉丝漆,0.3,0.5,亚克力金油15度,0.3,0.5
新多15号色,共成PSW75020,0.9 ,1.1 ,,,,,,,佳泰4K9015-3,7,9,,,,,,,,,,,,,,,
紫蓝喷塑,门面共成PSW5580,0.5 ,0.7 ,中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
高光核桃木,华荣E3408,0.5 ,0.8 ,,,,,,,吉荣H1221-2,6,8,,,,,,,水性漆9分光,0.37,0.55,,,,,,
新多16号色,共成PSW75030,0.9 ,1.4 ,,,,,,,长盛719-7A,7,9,,,,,,,,,,,,,,,
久久1号色,中江P0077S,0.5 ,0.8 ,,,,,,,吉荣06136,4,6,黑纸,1,1,,,,,,,,,,,,
石墨灰喷塑,中江P7305S,0.9 ,1.1 ,,,,,,,,,,,,,,,,3D闪银灰,0.2,0.3,,,,,,
藤黄拼色磨砂,共成PSW36555,0.5 ,0.7 ,中江P7305S,0.3,0.4,,,,锦彩HD8158-3,4,6,,,,,,,,,,,,,,,
永胜黄砂纹色,共成PSW35425,0.6 ,0.9 ,,,,,,,吉荣H1008-2,6,8,,,,,,,,,,,,,,,
金厦喷塑色,中江P7202S,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
鸿森1号色,共成PYG76610,0.7 ,1.1 ,,,,,,,锦彩HD8183-2,4,6,锦彩HD8232,2,2,,,,,,,,,,,,
橡木灰,圣联7168,0.6 ,0.9 ,中江P7305S,0.2,0.3,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
极地灰,中江PBJ62611-2,0.7 ,1.0 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
世纪豪都色,共成LG11,0.6 ,0.9 ,,,,,,,吉荣H0593-1,6,8,,,,,,,,,,,,,,,
烟熏胡桃木,圣联7019-2,0.7 ,1.2 ,圣联7315-2,0.2,0.2,中江P7305S,0.4,0.5,照川62053,4,6,照川61711-2,2,2,,,,,,,,,,,,
橘红转印,共成LG1131-1,0.5 ,0.8 ,,,,,,,吉荣H1451-1,6,8,,,,,,,水性漆4分光,0.3,0.5,,,,,,
库里2号色,共成PSW36555,0.5 ,0.7 ,中江P7305S,0.3,0.4,,,,锦彩HD8158-3,4,6,,,,,,,,,,,,,,,
墨石绿,兴顺PSJ80051,0.7 ,1.1 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
藤黄磨砂,共成PSW36555,0.6 ,0.9 ,,,,,,,锦彩HD8158-3,6,8,,,,,,,,,,,,,,,
金咖色,中江PBJ64006,0.7 ,1.0 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
特斯拉色,门面圣联7315-2,0.6 ,0.8 ,中江P7305S,0.4,0.5,,,,鑫尚彩AD9933-1横,5,7,,,,,,,,,,,,,,,
帝菲尼闪粉色,中江P0199S,0.6 ,0.9 ,中江P7305S,0.4,0.5,,,,铰链边吉荣1834-6,3,5,锁边吉荣1837,2,2,,,,,,,,,,,,
祥云色,圣联7168,0.6 ,0.9 ,圣联7905ZQ10PC,0.4,0.5,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
日月生辉色,中江P7305S,0.4 ,0.5 ,圣联61530,0.7,0.9 ,,,,,,,,,,,,,,,,,,,,,
金世佳色,圣联7315-2,0.6 ,0.8 ,圣联7010PC,0.5,0.6,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
坎儿井色,圣联7905ZQ10PC,0.8 ,1.1 ,兴顺PBJ60995,0.3,0.3,,,,,,,,,,,,,,,,,,,,,
海棠红转印,共成11340,0.8 ,1.1 ,,,,,,,国盛1021-22,6,8,,,,,,,水性漆4分光,0.3,0.5,,,,,,
金士顿色,中江PBJ62617,0.6 ,0.8 ,中江PBJ62615,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
帝菲尼高光核木色,共成36775,0.5 ,0.8 ,,,,,,,照川61560-2,6,8,,,,,,,水性漆9分光,0.37,0.55,,,,,,
帝菲尼黄棕磨砂,共成PSW319,0.6 ,0.9 ,,,,,,,照川61700,6,8,,,,,,,,,,,,,,,
帝菲尼高光红拼色,共成LG11553,0.5 ,0.8 ,,,,,,,佳泰1042,5,7,吉荣H07144-1,2,2,,,,水性漆9分光,0.37,0.55,,,,,,
帝菲尼红枫磨砂,共成PSW319,0.5 ,0.8 ,,,,,,,力源3012,6,8,,,,,,,,,,,,,,,
帝菲尼红泥磨砂,共成PSW319,0.5 ,0.8 ,,,,,,,吉荣10187-8,6,8,,,,,,,,,,,,,,,
帝菲尼高光红檀色,共成LG11553,0.5 ,0.8 ,,,,,,,锦彩8118-4,6,8,,,,,,,水性漆9分光,0.37,0.55,,,,,,
迪奥色,圣联F8097PC,0.6 ,0.9 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
斯诺克色,中江EP1062-7,0.8 ,1.0 ,,,,,,,,,,,,,,,,波诗明GB-90993,1,1.2,格力丝C-3307,0.35,0.55,面漆GD-100F30,0.35,0.55
火焰山色,共成PXS27420,0.7 ,1.1 ,共成PSW23196,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
新米兰色,共成27428,0.7 ,1.0 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
新五丰门套色,中江1021-8,0.5 ,0.8 ,,,,,,,旭腾1083-2,6,8,中间黑纸,1,1,,,,,,,,,,,,
奥斯汀色,圣联7277PC,0.6 ,0.9 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
奥罗兰色,圣联5188,0.6 ,0.9 ,,,,中江P7305S,0.4,0.5,照川62065-1,2,3,,,,,,,,,,,,,,,
荣光色,圣联7315-2,0.6 ,0.8 ,圣联7010PC,0.4,0.5,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
帝菲尼横纹磨砂拼色,门面共成PSW27480,0.9 ,1.2 ,门架共成PSW95215,0.3,0.4,,,,照川63129,4,6,,,,,,,,,,,,,,,
帝菲尼斜纹灰喷塑,门面共成PWG30125,0.5 ,0.7 ,门架共成PWG30120,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
筑青色,圣联7487ZM10PC,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
筑鑫色,中江PJD62725,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
荣旺色,圣联7277PC,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
红檀转印,共成LG11553,0.5 ,0.8 ,,,,,,,锦彩8118-4,6,8,,,,,,,水性漆4分光,0.3,0.5,,,,,,
帝靛蓝,兴顺PBJ70202,0.8 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
富源2号色,共成PSW75270,0.5 ,0.8 ,,,,,,,吉荣6470-1,6,8,,,,,,,,,,,,,,,
奥斯卡色,圣联7277-3,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
王者荣耀色,门面简彩PBK6103,0.6 ,0.8 ,门架简彩PBGK4547,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
黑胡桃工程,创B6013,0.5 ,0.8 ,,,,,,,国盛1021-22,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
珠光灰,门面圣联7905ZQ10PC,0.6 ,0.8 ,中江P7305S,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
肌肤兰灰,中江PJD66339-4,1.0 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
LX金砖色,门面中江PS4585,0.7 ,0.9 ,门架共成PSW27442,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
波兰竖纹拼色,门面华荣22083102,0.5 ,0.8 ,门架喜泽荣波兰闪砂,0.3,0.4,,,,门面鑫尚彩AD9930-3,4,6,,,,,,,,,,,,,,,
筑青色（外）, 喜泽荣23071304,0.6 ,1.0 ,,,,,,,,,,,,,,,,,,,,,,,,
周彬色,前板和门框圣联7277,0.6 ,0.9 ,后板和小门小框华荣E5115,0.6,0.8,,,,,,,,,,,,,,,,,,,,,
咖棕竖纹色,共成PSW4230,0.7 ,1.1 ,,,,,,,吉荣H1889,6,8,,,,,,,,,,,,,,,
睿羽暗红喷塑,共成PLG11565,0.6 ,0.9 ,,,,,,,,,,,,,,,,,,,,,,,,
LX7号色,共成35767,0.6 ,0.9 ,,,,,,,吉荣H1827-2,6,8,,,,,,,,,,,,,,,
新多17号色,前锁边万安CPJ62826,0.2 ,0.2 ,前铰链边万安63441,0.4,0.6,门架后板万安CPJ62839S,0.8,1,,,,,,,,,,,,,,,,,,
李春业6号色,门面共成PSW4230,0.5 ,0.8 ,门架喜泽荣波兰闪砂,0.3,0.4,,,,吉荣H1862,4,6,,,,,,,,,,,,,,,
鸦青色,门面喜泽荣E7853石墨灰,0.6 ,0.8 ,门架喜泽荣波兰闪砂,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
新多18号色,共成PYG76285,0.8 ,1.2 ,,,,,,,吉荣0328-9,12,16,,,,,,,水性漆4分光,0.4,0.65,,,,,,
筑城色,圣联61448PC,1.0 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
筑辉色,门面中江PJD64013,0.7 ,1.0 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
筑锦色,兴顺PBJ61260-1,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
金士顿色,门面中江PBJ62617,0.9 ,1.2 ,门架中江PBJ62615,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
筑彩色,门面圣联60-2,0.7 ,1.2 ,中江P7305S,0.4,0.5,,,,照川61061-9,5,7,,,,,,,,,,,,,,,
筑川色,门面门框圣联61489,1.0 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
SAIF转印色,共成PLG-11572,0.6 ,0.9 ,,,,,,,吉荣H10182-1,4,6,,,,,,,水性漆4分光,0.35,0.55,,,,,,
